Name(String),Dept(Integer),Salary(Integer),Tax(Integer)
Harris,4,985200,9853
Davis,3,449900,4500
Martin,0,56100,551
Moore,2,385300,3854
Thompson,1,232100,2322
Thomas,4,836200,8363
Williams,3,145600,1457
Taylor,0,305600,3057
Jones,2,514700,5148
Martinez,4,627200,6273
Taylor,3,377000,3771
Smith,1,366300,3664
Williams,4,396000,3961
Anderson,4,685200,6853
Williams,0,541900,5420
Brown,0,28700,288
Moore,4,903100,9032
Moore,0,410600,4107
Miller,1,322300,3224
Wilson,1,934100,9342
Davis,4,317200,3173
Thompson,0,927000,9271
White,4,957300,9574
Smith,4,137100,1372
Smith,4,893100,8921
Harris,1,373700,3738
Harris,3,557000,5571
Davis,3,816300,8164
Brown,0,965600,9657
Thomas,2,422100,4222
Brown,1,216600,2167
Johnson,0,290400,2905
White,4,232400,2314
Thompson,0,998300,9984
Williams,4,753200,7533
White,4,31800,319
Anderson,0,535300,5354
Williams,4,239500,2396
White,3,559100,5592
Miller,2,248700,2488
White,1,954400,9545
Anderson,1,947700,9478
Taylor,1,420500,4206
Brown,4,655700,6558
Jackson,2,682800,6829
Thomas,1,456200,4563
Harris,2,366200,3663
Garcia,2,478200,4783
Martinez,3,536700,5368
Jackson,3,743800,7439
Brown,2,706700,7068
Wilson,3,201600,2017
Martin,0,750500,7506
Thompson,1,613600,6137
Smith,0,204900,2050
Davis,2,255400,2555
Smith,1,998100,9982
Thompson,3,91100,912
Martin,3,312600,3127
Garcia,4,419000,4191
Brown,0,519200,5193
White,3,840400,8405
Smith,2,306000,3061
Harris,1,314800,3149
Robinson,2,597900,5980
Martin,1,801200,8013
Jackson,2,496800,4969
Martinez,2,404100,4042
Robinson,2,648100,6482
Robinson,3,401300,4014
Martin,0,117500,1176
Wilson,1,440100,4402
Johnson,4,612400,6125
Martin,0,504900,5050
Thomas,4,999100,9992
Davis,0,241200,2413
Thomas,4,118300,1184
Taylor,0,808900,8090
Garcia,0,133400,1335
Thompson,2,708900,7090
Thompson,4,596400,5965
Thomas,0,357800,3579
Williams,0,902900,9030
Johnson,0,847600,8477
Johnson,2,779700,7798
Martinez,3,164100,1642
White,4,353300,3534
Anderson,3,689600,6897
Moore,3,614200,6143
Martinez,1,246900,2470
White,3,605600,6057
Brown,3,232200,2323
Anderson,1,864500,8646
Anderson,3,384700,3848
Moore,4,297500,2976
Davis,1,632500,6326
Davis,2,395600,3957
Harris,2,899600,8997
Martinez,3,502700,5028
